vw,up,us,lt,aero_force,v_app,kite_vel,aoa,set_elevation,final_elevation,azimuth,proj_area,ref_area,g_earth
8.0,0.42,0.0,262.0,447.55657958984375,8.758075714111328,1.3185787200927734,2.5852036476135254,20.0,65.67797088623047,0.0830068364739418,3.628665879930881,23.855285768571882,0.0
8.0,0.42,0.0,262.0,441.75390625,8.684277534484863,1.4074655771255493,2.952392816543579,25.0,65.8634262084961,-0.1900416910648346,3.597600209703236,23.855285768571882,0.0
8.0,0.42,0.0,262.0,437.3572692871094,8.6150541305542,1.550234317779541,3.285799741744995,30.0,66.01683044433594,0.3942403495311737,3.622305151440464,23.855285768571882,0.0
8.0,0.42,0.0,262.0,424.2340087890625,8.5077543258667,1.3479487895965576,3.588022470474243,35.0,65.98473358154297,0.11560219526290894,3.6575747388484423,23.855285768571882,0.0
8.0,0.42,0.0,262.0,391.25079345703125,8.264565467834473,1.046426773071289,4.2746968269348145,45.0,64.77603912353516,-0.26051434874534607,3.6801812026712435,23.855285768571882,0.0
8.0,0.42,0.0,262.0,405.83941650390625,8.175575256347656,0.7446038722991943,4.582816123962402,50.0,66.39260864257812,0.014400958083570004,3.6849735350972757,23.855285768571882,0.0
8.0,0.42,0.0,262.0,367.3486022949219,8.058091163635254,0.843779444694519,4.064497947692871,55.0,65.0999984741211,-0.07433882355690002,3.681769030300116,23.855285768571882,0.0
8.0,0.42,0.0,262.0,390.0402526855469,7.9865922927856445,0.3788626492023468,4.600510597229004,60.0,68.24223327636719,0.14113298058509827,3.7074002265741144,23.855285768571882,0.0
8.0,0.42,0.0,262.0,383.1641540527344,7.968493461608887,0.5345889329910278,4.413135528564453,65.0,71.69241333007812,0.3977001905441284,3.8153633579921733,23.855285768571882,0.0
8.0,0.42,0.0,262.0,582.2354736328125,7.852536201477051,0.31090521812438965,6.741805553436279,70.0,71.88424682617188,0.11514821648597717,3.612571258548953,23.855285768571882,0.0
8.0,0.42,0.0,262.0,712.4137573242188,7.75969123840332,0.18895821273326874,2.7342896461486816,75.0,73.11741638183594,0.004085704684257507,3.784852044298098,23.855285768571882,0.0
8.0,0.42,0.0,262.0,506.678466796875,7.700878143310547,0.15583431720733643,4.468277454376221,80.0,75.86842346191406,0.020330071449279785,3.642029012334751,23.855285768571882,0.0
8.0,0.42,0.0,262.0,406.8061218261719,7.524725914001465,0.46602705121040344,2.3219990730285645,85.0,72.97822570800781,0.08081258833408356,3.6590616629477273,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2105.01416015625,20.879703521728516,3.9756202697753906,1.733231782913208,20.0,62.44120788574219,-0.014738297089934349,3.5681988340635633,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2045.1414794921875,20.47130012512207,1.4331787824630737,2.141714334487915,25.0,62.7579460144043,0.03448252007365227,3.58414572574308,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2055.259521484375,20.363554000854492,0.8174968361854553,2.5126595497131348,30.0,62.99766540527344,0.004338978324085474,3.6131487450432567,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2044.613525390625,20.268354415893555,0.6751477122306824,2.8454222679138184,35.0,63.04852294921875,0.0027968022041022778,3.6197377179186843,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2104.556640625,20.066389083862305,0.43719154596328735,3.7059314250946045,45.0,62.78581237792969,0.0009263675310648978,3.6482359440443775,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2104.06005859375,19.979385375976562,0.34214210510253906,4.042929172515869,50.0,63.412086486816406,0.0013805561466142535,3.649837477321938,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2092.106689453125,19.87358856201172,0.2374882847070694,3.47446608543396,55.0,63.278358459472656,0.0013923097867518663,3.6548754355824964,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2056.447265625,19.803836822509766,0.1990402340888977,3.9345357418060303,60.0,64.85386657714844,0.0019297035178169608,3.673167500110133,23.855285768571882,0.0
20.0,0.42,0.0,262.0,1978.864501953125,19.831119537353516,1.2802244424819946,3.2994742393493652,65.0,67.84453582763672,-0.15130087733268738,3.763777658547598,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2960.09130859375,19.802709579467773,1.7997727394104004,6.002369403839111,70.0,67.5813217163086,0.09351373463869095,3.620622002866905,23.855285768571882,0.0
20.0,0.42,0.0,262.0,4226.4970703125,19.645660400390625,0.360320121049881,1.6080718040466309,75.0,72.24332427978516,0.011209885589778423,3.809996937329846,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2704.205322265625,19.520206451416016,0.2608754336833954,3.921942710876465,80.0,72.10565948486328,0.00016976323968265206,3.6032083235353722,23.855285768571882,0.0
20.0,0.42,0.0,262.0,2308.093017578125,19.379741668701172,1.110291600227356,1.5176225900650024,85.0,69.015869140625,-0.012551506981253624,3.585352933218927,23.855285768571882,0.0
