vw,up,us,aero_force,v_app,yaw_rate,yaw_rate_paper,gk,gk_paper,kite_vel,aoa,elevation,azimuth
8.0,0.2,0.05,873.8181762695312,7.956105709075928,-0.09837783813476558,-0.3262600540278517,-0.3297794592688783,0.05516393032186843,0.9718565940856934,10.131657600402832,49.52238082885742,74.1099853515625
8.0,0.2,0.1,42921.0546875,56.322994232177734,44.97031738281252,44.928185331631745,6.878768886078719,0.30524806312164143,55.7684326171875,5.40172004699707,1.1049333810806274,1.379880666732788
8.0,0.2,0.15,19978.27734375,35.39799118041992,75.06897460937498,75.06782408266831,13.4289143413753,-0.3757226022143024,34.47821807861328,11.9674654006958,1.9949848651885986,1.1164193153381348
8.0,0.2,0.2,19837.927734375,35.309993743896484,86.78771484375,86.76815525728043,11.827102631824186,0.007696272473896923,34.395870208740234,11.769332885742188,2.1728646755218506,1.0492221117019653
8.0,0.2,0.25,19470.72265625,35.11042404174805,96.945048828125,96.9321649056069,10.720748022721867,0.21138426269687882,34.192501068115234,11.594817161560059,2.3305225372314453,0.9307236075401306
8.0,0.21,0.05,837.2919311523438,8.014167785644531,0.054161682128906305,-0.3115436663360125,0.12190000774662996,0.015502855070689077,0.6921888589859009,9.467007637023926,54.50514602661133,71.79620361328125
8.0,0.21,0.1,893.8080444335938,8.183489799499512,0.3534637451171875,0.024326684239603907,0.42946351947608397,0.0363584924071737,1.7032595872879028,9.938653945922852,-41.40782165527344,74.63275909423828
8.0,0.21,0.15,38391.7734375,54.45672607421875,63.02130859374999,63.02280028983058,7.0491732046170394,0.14034026567868854,53.87235641479492,5.080149173736572,2.790891647338867,1.3384802341461182
8.0,0.21,0.2,18672.724609375,34.91434860229492,83.90751953125,83.90645645545852,11.59292282880178,0.05417597947747244,33.9841423034668,11.097339630126953,2.245811700820923,1.0725873708724976
8.0,0.21,0.25,18299.123046875,34.63180160522461,94.11812500000002,94.08581563740331,10.573331592490602,0.18213587338703668,33.70280838012695,10.982719421386719,2.1959376335144043,0.9136424660682678
8.0,0.22,0.05,800.234130859375,8.00489330291748,0.03243118286132811,-0.4448391246914874,0.06892202186938677,0.01330010887792968,0.661198616027832,9.191109657287598,55.89777755737305,70.08515167236328
8.0,0.22,0.1,847.3462524414062,8.177996635437012,0.4081689453125,0.13632895678425058,0.4974252657727779,0.056690908073852485,1.6452511548995972,9.266216278076172,-13.45663833618164,78.06103515625
8.0,0.22,0.15,35400.4921875,53.16510772705078,60.32419921875002,60.315595781953434,6.960988534612402,-0.2644626370070888,52.55451202392578,4.777267932891846,1.1090506315231323,2.2367963790893555
8.0,0.22,0.2,33121.9140625,51.700050354003906,76.48470703125004,76.47910700496186,6.982509821346268,0.2046820660339242,51.09347915649414,4.872162818908691,2.694024085998535,2.257373571395874
8.0,0.22,0.25,17060.6875,34.048912048339844,90.40482421875002,90.40384604809572,10.352085300774506,-0.27432386561681793,33.09242630004883,10.423284530639648,2.095200538635254,0.8145818710327148
